GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Patrones Restaurante,Comportamentales.Command.vista,CommandConsole,47,50,5,3,14,17,6,2,1,1
Patrones Restaurante,Creacionales.FactoryMethod.vista,FactoryConsole,143,59,12,3,45,23,13,4,5,3
Patrones Restaurante,Comportamentales.Observer.vista,ObserverConsole,21,57,4,3,5,18,5,2,1,1
Patrones Restaurante,Creacionales.Singleton.vista,InventoryConsole,49,57,4,3,15,18,5,2,1,1
Patrones Restaurante,Estructurales.Proxy.modelo,Waiter,0,45,0,0,0,15,0,5,0,5
Patrones Restaurante,Estructurales.Proxy.modelo,Client,0,23,0,0,0,8,0,3,0,3
Patrones Restaurante,Estructurales.Proxy.modelo,Kitchen,12,37,0,0,5,11,3,3,3,3
Patrones Restaurante,Creacionales.Singleton.controlador,InventoryController,4,22,0,0,1,6,1,4,1,4
Patrones Restaurante,Creacionales.FactoryMethod.controlador,OrderFactoryController,0,23,0,0,0,8,0,2,0,2
Patrones Restaurante,Estructurales.Proxy.controlador,ProxyController,0,26,0,0,0,6,0,2,0,2
Patrones Restaurante,Creacionales.Singleton.modelo,Kitchen,0,28,0,2,0,9,0,3,0,2
Patrones Restaurante,Creacionales.Singleton.modelo,Inventory,0,155,0,14,0,38,0,19,0,12
Patrones Restaurante,Creacionales.Singleton.modelo,ProductoInventario,0,25,0,0,0,9,0,5,0,5
Patrones Restaurante,Creacionales.Singleton.modelo,Administrator,0,32,0,0,0,9,0,3,0,3
Patrones Restaurante,Creacionales.Builder.vista,BuilderConsole,26,51,5,4,6,18,6,2,1,1
Patrones Restaurante,Comportamentales.ChainOfResponsibility.vista,ChainConsole,3,10,0,0,1,4,1,1,1,1
Patrones Restaurante,Comportamentales.State.vista,StateConsole,3,82,1,5,1,25,2,3,1,1
Patrones Restaurante,Comportamentales.ChainOfResponsibility.modelo,Administrator,10,23,1,1,2,7,2,2,1,2
Patrones Restaurante,Comportamentales.ChainOfResponsibility.modelo,BaseHandler,0,21,0,2,0,7,0,4,0,3
Patrones Restaurante,Comportamentales.ChainOfResponsibility.modelo,Waiter,0,39,0,2,0,10,0,4,0,3
Patrones Restaurante,Comportamentales.ChainOfResponsibility.modelo,Chef,0,39,0,2,0,10,0,4,0,3
Patrones Restaurante,Comportamentales.ChainOfResponsibility.modelo,Client,4,23,0,0,1,7,1,2,1,2
Patrones Restaurante,Estructurales.Proxy.vista,ProxyConsole,3,10,0,0,1,4,1,1,1,1
Patrones Restaurante,Comportamentales.Command.controlador,CommandController,0,31,0,0,0,8,0,3,0,3
Patrones Restaurante,Creacionales.FactoryMethod.modelo,DeliveryOrder,0,68,0,0,0,18,0,9,0,9
Patrones Restaurante,Creacionales.FactoryMethod.modelo,DineInOrderCreator,0,13,0,0,0,2,0,2,0,2
Patrones Restaurante,Creacionales.FactoryMethod.modelo,DeliveryOrderCreator,0,18,0,0,0,5,0,2,0,2
Patrones Restaurante,Creacionales.FactoryMethod.modelo,TakeAwayOrder,0,68,0,0,0,18,0,9,0,9
Patrones Restaurante,Creacionales.FactoryMethod.modelo,TakeAwayOrderCreator,0,18,0,0,0,5,0,2,0,2
Patrones Restaurante,Creacionales.FactoryMethod.modelo,DineInOrder,0,60,0,0,0,17,0,9,0,9
Patrones Restaurante,Creacionales.FactoryMethod.modelo,OrderCreator,8,3,0,0,3,1,1,1,1,1
Patrones Restaurante,Comportamentales.Command.modelo,Cashier,0,62,0,6,0,15,0,8,0,4
Patrones Restaurante,Comportamentales.Command.modelo,Client,3,45,1,3,1,10,1,4,0,2
Patrones Restaurante,Comportamentales.Command.modelo,OrderSystem,0,58,0,2,0,16,0,7,0,6
Patrones Restaurante,Comportamentales.Command.modelo,RegisterOrder,0,15,0,0,0,6,0,2,0,2
Patrones Restaurante,Comportamentales.Command.modelo,CancelOrder,0,15,0,0,0,6,0,2,0,2
Patrones Restaurante,Comportamentales.Command.modelo,ProcessPayment,0,15,0,0,0,6,0,2,0,2
Patrones Restaurante,Creacionales.Builder.modelo,Dish,0,61,0,0,0,14,0,12,0,12
Patrones Restaurante,Creacionales.Builder.modelo,VegetarianDishBuilder,0,32,0,0,0,12,0,6,0,6
Patrones Restaurante,Creacionales.Builder.modelo,ChefDirector,0,29,0,0,0,10,0,3,0,3
Patrones Restaurante,Creacionales.Builder.modelo,DailyMenuBuilder,0,36,0,0,0,13,0,6,0,6
Patrones Restaurante,Creacionales.Builder.modelo,DishBuilder,0,12,0,0,0,4,0,3,0,3
Patrones Restaurante,Creacionales.Builder.modelo,GourmetDishBuilder,0,32,0,0,0,12,0,6,0,6
Patrones Restaurante,Comportamentales.ChainOfResponsibility.controlador,ChainController,0,61,0,0,0,13,0,3,0,3
Patrones Restaurante,Comportamentales.State.modelo,Pedido,0,44,0,0,0,14,0,8,0,8
Patrones Restaurante,Comportamentales.State.modelo,EstadoEntregado,0,11,0,0,0,4,0,3,0,3
Patrones Restaurante,Comportamentales.State.modelo,EstadoPreparando,0,11,0,0,0,4,0,3,0,3
Patrones Restaurante,Comportamentales.State.modelo,EstadoNuevo,0,11,0,0,0,4,0,3,0,3
Patrones Restaurante,Comportamentales.State.modelo,EstadoListo,0,11,0,0,0,4,0,3,0,3
Patrones Restaurante,Comportamentales.State.modelo,EstadoPedido,0,3,0,0,0,1,0,1,0,1
Patrones Restaurante,Comportamentales.State.modelo,EstadoCerrado,4,5,0,0,2,2,1,2,1,2
Patrones Restaurante,Estructurales.Adapter.controlador,AdapterController,4,107,1,3,1,22,1,5,0,4
Patrones Restaurante,Creacionales.Builder.controlador,BuilderController,0,39,0,3,0,9,0,4,0,2
Patrones Restaurante,Comportamentales.State.controlador,StateController,0,20,0,0,0,6,0,5,0,5
Patrones Restaurante,Estructurales.Adapter.modelo,AdapterPayMethod,3,166,1,11,1,39,1,12,0,6
Patrones Restaurante,Estructurales.Adapter.modelo,Client,0,19,0,0,0,6,0,2,0,2
Patrones Restaurante,Estructurales.Adapter.modelo,TransferMethod,0,47,0,2,0,11,0,3,0,2
Patrones Restaurante,Estructurales.Adapter.modelo,CashMethod,0,44,0,2,0,12,0,3,0,2
Patrones Restaurante,Estructurales.Adapter.modelo,CreditCardMethod,0,40,0,0,0,11,0,2,0,2
Patrones Restaurante,Comportamentales.Observer.modelo,CajaObserver,0,14,0,0,0,5,0,2,0,2
Patrones Restaurante,Comportamentales.Observer.modelo,OrderNotifier,6,40,0,2,2,12,1,6,1,5
Patrones Restaurante,Comportamentales.Observer.modelo,Pedido,5,33,0,0,1,10,1,6,1,6
Patrones Restaurante,Comportamentales.Observer.modelo,MeseroObserver,0,14,0,0,0,5,0,2,0,2
Patrones Restaurante,Comportamentales.Observer.modelo,CocinaObserver,0,14,0,0,0,5,0,2,0,2
Patrones Restaurante,Comportamentales.Observer.controlador,ObserverController,0,55,0,0,0,13,0,3,0,3
Patrones Restaurante,Estructurales.Adapter.vista,AdapterConsole,95,57,11,4,33,20,10,2,1,1
